Gene stable ID	Gene stable ID version	Transcript stable ID	Transcript stable ID version	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Transcript start (bp)	Transcript end (bp)	Strand	Gene name	Genomic coding start	Genomic coding end	cDNA coding start	cDNA coding end	CDS start	CDS end	Exon region start (bp)	Exon region end (bp)	CDS Length
ENSG00000106991	ENSG00000106991.13	ENST00000373203	ENST00000373203.8	9	127815012	127854756	127815012	127854756	-1	ENG	127854289	127854355	402	468	1	67	127854289	127854756	1977
ENSG00000106991	ENSG00000106991.13	ENST00000373203	ENST00000373203.8	9	127815012	127854756	127815012	127854756	-1	ENG	127843094	127843245	469	620	68	219	127843094	127843245	1977
ENSG00000106991	ENSG00000106991.13	ENST00000373203	ENST00000373203.8	9	127815012	127854756	127815012	127854756	-1	ENG	127829687	127829827	621	761	220	360	127829687	127829827	1977
ENSG00000106991	ENSG00000106991.13	ENST00000373203	ENST00000373203.8	9	127815012	127854756	127815012	127854756	-1	ENG	127826510	127826672	762	924	361	523	127826510	127826672	1977
ENSG00000106991	ENSG00000106991.13	ENST00000373203	ENST00000373203.8	9	127815012	127854756	127815012	127854756	-1	ENG	127825695	127825860	925	1090	524	689	127825695	127825860	1977
ENSG00000106991	ENSG00000106991.13	ENST00000373203	ENST00000373203.8	9	127815012	127854756	127815012	127854756	-1	ENG	127825231	127825357	1091	1217	690	816	127825231	127825357	1977
ENSG00000106991	ENSG00000106991.13	ENST00000373203	ENST00000373203.8	9	127815012	127854756	127815012	127854756	-1	ENG	127824800	127824974	1218	1392	817	991	127824800	127824974	1977
ENSG00000106991	ENSG00000106991.13	ENST00000373203	ENST00000373203.8	9	127815012	127854756	127815012	127854756	-1	ENG	127824304	127824446	1393	1535	992	1134	127824304	127824446	1977
ENSG00000106991	ENSG00000106991.13	ENST00000373203	ENST00000373203.8	9	127815012	127854756	127815012	127854756	-1	ENG	127819900	127820037	1536	1673	1135	1272	127819900	127820037	1977
ENSG00000106991	ENSG00000106991.13	ENST00000373203	ENST00000373203.8	9	127815012	127854756	127815012	127854756	-1	ENG	127819622	127819660	1674	1712	1273	1311	127819622	127819660	1977
ENSG00000106991	ENSG00000106991.13	ENST00000373203	ENST00000373203.8	9	127815012	127854756	127815012	127854756	-1	ENG	127818716	127818832	1713	1829	1312	1428	127818716	127818832	1977
ENSG00000106991	ENSG00000106991.13	ENST00000373203	ENST00000373203.8	9	127815012	127854756	127815012	127854756	-1	ENG	127818120	127818377	1830	2087	1429	1686	127818120	127818377	1977
ENSG00000106991	ENSG00000106991.13	ENST00000373203	ENST00000373203.8	9	127815012	127854756	127815012	127854756	-1	ENG	127817149	127817203	2088	2142	1687	1741	127817149	127817203	1977
ENSG00000106991	ENSG00000106991.13	ENST00000373203	ENST00000373203.8	9	127815012	127854756	127815012	127854756	-1	ENG	127815943	127816053	2143	2253	1742	1852	127815943	127816053	1977
ENSG00000106991	ENSG00000106991.13	ENST00000373203	ENST00000373203.8	9	127815012	127854756	127815012	127854756	-1	ENG	127815682	127815806	2254	2378	1853	1977	127815012	127815806	1977
ENSG00000170365	ENSG00000170365.10	ENST00000302085	ENST00000302085.9	4	145481194	145559176	145481853	145559176	1	SMAD1							145481853	145482038	1398
ENSG00000170365	ENSG00000170365.10	ENST00000302085	ENST00000302085.9	4	145481194	145559176	145481853	145559176	1	SMAD1	145514614	145515013	363	762	1	400	145514438	145515013	1398
ENSG00000170365	ENSG00000170365.10	ENST00000302085	ENST00000302085.9	4	145481194	145559176	145481853	145559176	1	SMAD1	145539804	145540061	763	1020	401	658	145539804	145540061	1398
ENSG00000170365	ENSG00000170365.10	ENST00000302085	ENST00000302085.9	4	145481194	145559176	145481853	145559176	1	SMAD1	145542582	145542698	1021	1137	659	775	145542582	145542698	1398
ENSG00000170365	ENSG00000170365.10	ENST00000302085	ENST00000302085.9	4	145481194	145559176	145481853	145559176	1	SMAD1	145546703	145546924	1138	1359	776	997	145546703	145546924	1398
ENSG00000170365	ENSG00000170365.10	ENST00000302085	ENST00000302085.9	4	145481194	145559176	145481853	145559176	1	SMAD1	145553784	145554040	1360	1616	998	1254	145553784	145554040	1398
ENSG00000170365	ENSG00000170365.10	ENST00000302085	ENST00000302085.9	4	145481194	145559176	145481853	145559176	1	SMAD1	145557791	145557934	1617	1760	1255	1398	145557791	145559176	1398
ENSG00000139567	ENSG00000139567.12	ENST00000550683	ENST00000550683.5	12	51906908	51923361	51912332	51923359	1	ACVRL1	51913099	51913350	205	456	104	355	51913099	51913350	1554
ENSG00000139567	ENSG00000139567.12	ENST00000550683	ENST00000550683.5	12	51906908	51923361	51912332	51923359	1	ACVRL1	51913559	51913770	457	668	356	567	51913559	51913770	1554
ENSG00000139567	ENSG00000139567.12	ENST00000550683	ENST00000550683.5	12	51906908	51923361	51912332	51923359	1	ACVRL1	51913974	51914073	669	768	568	667	51913974	51914073	1554
ENSG00000139567	ENSG00000139567.12	ENST00000550683	ENST00000550683.5	12	51906908	51923361	51912332	51923359	1	ACVRL1	51914439	51914585	769	915	668	814	51914439	51914585	1554
ENSG00000139567	ENSG00000139567.12	ENST00000550683	ENST00000550683.5	12	51906908	51923361	51912332	51923359	1	ACVRL1	51915225	51915500	916	1191	815	1090	51915225	51915500	1554
ENSG00000139567	ENSG00000139567.12	ENST00000550683	ENST00000550683.5	12	51906908	51923361	51912332	51923359	1	ACVRL1	51916036	51916233	1192	1389	1091	1288	51916036	51916233	1554
ENSG00000139567	ENSG00000139567.12	ENST00000550683	ENST00000550683.5	12	51906908	51923361	51912332	51923359	1	ACVRL1	51918985	51919115	1390	1520	1289	1419	51918985	51919115	1554
ENSG00000139567	ENSG00000139567.12	ENST00000550683	ENST00000550683.5	12	51906908	51923361	51912332	51923359	1	ACVRL1	51912433	51912535	102	204	1	103	51912332	51912535	1554
ENSG00000139567	ENSG00000139567.12	ENST00000550683	ENST00000550683.5	12	51906908	51923361	51912332	51923359	1	ACVRL1	51920759	51920893	1521	1655	1420	1554	51920759	51923359	1554
ENSG00000204217	ENSG00000204217.14	ENST00000374580	ENST00000374580.9	2	202376180	202567751	202376180	202567751	1	BMPR2	202377475	202377550	1296	1371	1	76	202376180	202377550	3117
ENSG00000204217	ENSG00000204217.14	ENST00000374580	ENST00000374580.9	2	202376180	202567751	202376180	202567751	1	BMPR2	202464809	202464979	1372	1542	77	247	202464809	202464979	3117
ENSG00000204217	ENSG00000204217.14	ENST00000374580	ENST00000374580.9	2	202376180	202567751	202376180	202567751	1	BMPR2	202467519	202467689	1543	1713	248	418	202467519	202467689	3117
ENSG00000204217	ENSG00000204217.14	ENST00000374580	ENST00000374580.9	2	202376180	202567751	202376180	202567751	1	BMPR2	202513719	202513829	1714	1824	419	529	202513719	202513829	3117
